ID,probs
1,0.104
2,0.106
3,0.056
4,0.02
5,0.326
6,0.076
7,0.236
8,0.6
9,0.52
10,0.406
11,0.04
12,0.062
13,0.202
14,0.372
15,0.25
16,0.122
17,0.082
18,0.012
19,0.304
20,0.068
21,0.588
22,0.09
23,0.268
24,0.386
25,0.076
26,0.256
27,0.11
28,0.218
29,0.194
30,0.138
31,0.028
32,0.16
33,0.062
34,0.138
35,0.934
36,0.346
37,0.158
38,0.054
39,0.456
40,0.528
41,0.148
42,0.06
43,0.164
44,0.888
45,0.234
46,0.104
47,0.406
48,0.216
49,0.328
50,0.078
51,0.462
52,0.166
53,0.032
54,0.192
55,0.042
56,0.152
57,0.022
58,0.054
59,0.176
60,0.062
61,0.086
62,0.188
63,0.072
64,0.316
65,0.016
66,0.234
67,0.144
68,0.256
69,0
70,0.198
71,0.218
72,0.118
73,0.184
74,0.27
75,0.11
76,0.032
77,0.158
78,0.022
79,0.06
80,0.434
81,0.134
82,0.142
83,0.56
84,0.046
85,0.046
86,0.088
87,0.08
88,0.348
89,0.346
90,0.93
91,0.074
92,0.042
93,0.188
94,0.144
95,0.094
96,0.062
97,0.074
98,0.11
99,0.106
100,0.25
101,0.018
102,0.106
103,0.068
104,0.074
105,0.086
106,0.09
107,0.084
108,0.118
109,0.098
110,0.09
111,0.342
112,0.226
113,0.3
114,0.068
115,0.032
116,0.542
117,0.096
118,0.04
119,0.132
120,0.318
121,0.1
122,0.35
123,0.296
124,0.194
125,0.086
126,0.138
127,0.1
128,0.298
129,0.214
130,0.074
131,0.07
132,0.038
133,0.212
134,0.36
135,0.23
136,0.278
137,0.168
138,0.528
139,0.404
140,0.514
141,0.078
142,0.052
143,0.818
144,0.092
145,0.138
146,0.214
147,0.15
148,0.204
149,0.136
150,0.374
151,0.21
152,0.192
153,0.08
154,0.118
155,0.106
156,0.172
157,0.026
158,0.284
159,0.002
160,0.056
161,0.172
162,0.092
163,0.186
164,0.164
165,0.25
166,0.488
167,0.12
168,0.288
169,0.28
170,0.196
171,0.568
172,0.052
173,0.106
174,0.136
175,0.51
176,0.124
177,0.156
178,0.486
179,0.068
180,0.232
181,0.174
182,0.264
183,0.236
184,0
185,0.208
186,0.344
187,0.33
188,0.102
189,0.272
190,0.526
191,0.476
192,0.18
193,0.07
194,0.138
195,0.402
196,0.244
197,0.086
198,0.222
199,0.482
200,0.064
201,0.114
202,0.268
203,0.266
204,0.34
205,0.534
206,0.132
207,0.084
208,0.51
209,0.382
210,0.058
211,0.182
212,0.13
213,0.122
214,0.142
215,0.194
216,0.124
217,0.27
218,0.336
219,0.508
220,0.098
221,0.066
222,0.326
223,0.206
224,0.17
225,0.136
226,0.2
227,0.44
228,0.12
229,0.322
230,0.264
231,0.306
232,0.15
233,0.064
234,0.166
235,0.056
236,0.082
237,0.052
238,0.22
239,0.126
240,0.088
241,0.36
242,0.046
243,0.414
244,0.08
245,0.028
246,0.102
247,0.106
248,0.596
249,0.178
250,0.074
251,0.034
252,0.024
253,0.126
254,0.246
255,0.396
256,0.642
257,0.05
258,0.056
259,0.016
260,0.192
261,0.328
262,0.22
263,0.226
264,0.166
265,0.228
266,0.076
267,0.144
268,0.19
269,0.06
270,0.086
271,0.154
272,0.08
273,0.062
274,0.246
275,0.1
276,0.09
277,0.034
278,0.148
279,0.888
280,0.056
281,0.078
282,0.416
283,0.102
284,0.062
285,0.182
286,0.186
287,0.462
288,0.262
289,0.578
290,0.148
291,0.072
292,0.178
293,0.512
294,0.074
295,0.202
296,0.478
297,0.108
298,0.136
299,0.128
300,0.082
301,0.412
302,0.026
303,0.31
